"id","topic","word","beta","topic_probability"
18,1,"simply",0.000786761417505584,0.584871728027373
18,1,"held",0.000430839206602797,0.584871728027373
18,1,"operates",0.000205046691446313,0.584871728027373
18,1,"ballblower.html",0.000205046691446312,0.584871728027373
18,1,"mouth",8.798163932614e-12,0.584871728027373
18,1,"motor",1.7848089754443e-13,0.584871728027373
18,1,"electric",3.97868963659119e-23,0.584871728027373
18,1,"floats",2.39807554752866e-23,0.584871728027373
19,5,"paper",0.0131677809535811,0.546180220667737
19,5,"butterfly",0.0118094070317918,0.546180220667737
19,5,"butterfly",0.0118094070317918,0.546180220667737
19,5,"butterfly",0.0118094070317918,0.546180220667737
19,5,"stick",0.011051485031856,0.546180220667737
19,5,"top",0.00625792994442093,0.546180220667737
19,5,"base",0.00573207780291679,0.546180220667737
19,5,"trash",0.00294381869224159,0.546180220667737
19,5,"model",0.0024569730238408,0.546180220667737
19,5,"stuck",0.00238661517239209,0.546180220667737
19,5,"art",0.00181278585056239,0.546180220667737
19,5,"colorful",0.00144634450588457,0.546180220667737
19,5,"thin",0.00100545488642064,0.546180220667737
19,5,"flutter",0.000805186033897992,0.546180220667737
19,5,"flutter",0.000805186033897992,0.546180220667737
19,5,"breeze",0.000475617491399265,0.546180220667737
19,5,"flutteringbutterfly.html",0.00026839561466892,0.546180220667737
19,5,"taped",4.09338385385915e-09,0.546180220667737
19,5,"cd",1.82469762096142e-12,0.546180220667737
19,5,"cd",1.82469762096142e-12,0.546180220667737
19,5,"transparency",3.09051205866712e-16,0.546180220667737
19,5,"flower",3.97359170680408e-20,0.546180220667737
19,5,"strip",7.35838278202645e-27,0.546180220667737
20,5,"cup",0.0152852045188715,0.869256388999799
20,5,"paper",0.0131677809535811,0.869256388999799
20,5,"legs",0.0120787092314978,0.869256388999799
20,5,"doll",0.00812846783687579,0.869256388999799
20,5,"doll",0.00812846783687579,0.869256388999799
20,5,"plastic",0.00692474764726939,0.869256388999799
20,5,"dance",0.00648242417367408,0.869256388999799
20,5,"pressing",0.00263915941298657,0.869256388999799
20,5,"delightful",0.00259126657525051,0.869256388999799
20,5,"releasing",0.00140411415815929,0.869256388999799
20,5,"rim",0.00123616109758789,0.869256388999799
20,5,"moves",0.000505244114371453,0.869256388999799
20,5,"dancingdolloncup.html",0.000268395614668923,0.869256388999799
20,5,"diametric",0.000268395614668923,0.869256388999799
20,5,"pasted",0.000268395614668923,0.869256388999799
20,5,"jiffy",0.000268392900994087,0.869256388999799
20,5,"bottomless",0.000228435054311763,0.869256388999799
20,5,"appears",9.17238801580663e-06,0.869256388999799
21,5,"card",0.0173764225163054,0.753065887028682
21,5,"card",0.0173764225163054,0.753065887028682
21,5,"card",0.0173764225163054,0.753065887028682
21,5,"card",0.0173764225163054,0.753065887028682
21,5,"stick",0.011051485031856,0.753065887028682
21,5,"rubber",0.00536569705078637,0.753065887028682
21,5,"rubber",0.00536569705078637,0.753065887028682
21,5,"simple",0.00368966686708698,0.753065887028682
21,5,"press",0.0035310729187235,0.753065887028682
21,5,"inside",0.0033518284090056,0.753065887028682
21,5,"makes",0.00302989589288265,0.753065887028682
21,5,"pressing",0.00263915941298657,0.753065887028682
21,5,"delightful",0.00259126657525051,0.753065887028682
21,5,"releasing",0.00140411415815929,0.753065887028682
21,5,"releasing",0.00140411415815929,0.753065887028682
21,5,"jump",0.000979917056627333,0.753065887028682
21,5,"jump",0.000979917056627333,0.753065887028682
21,5,"band",0.000875792763525397,0.753065887028682
21,5,"band",0.000875792763525397,0.753065887028682
21,5,"stretched",0.000504138574769249,0.753065887028682
21,5,"hoop",0.000282755885713505,0.753065887028682
21,5,"strechandjump.html",0.000268395614668697,0.753065887028682
21,5,"frog",3.72131968658679e-16,0.753065887028682
21,5,"frog",3.72131968658679e-16,0.753065887028682
22,10,"bottle",0.0804773756399128,0.463020995060099
22,10,"lid",0.0217958552477142,0.463020995060099
22,10,"ball",0.0187406208280603,0.463020995060099
22,10,"air",0.0147127707590675,0.463020995060099
22,10,"water",0.014338393214891,0.463020995060099
22,10,"water",0.014338393214891,0.463020995060099
22,10,"mouth",0.00719682488047864,0.463020995060099
22,10,"top",0.00631912717098224,0.463020995060099
22,10,"pressure",0.0056274190425414,0.463020995060099
22,10,"filled",0.00252202171117082,0.463020995060099
22,10,"fill",0.00237541237080899,0.463020995060099
22,10,"liter",0.00233678074671954,0.463020995060099
22,10,"pressing",0.00233005120978857,0.463020995060099
22,10,"releasing",0.0018980024830239,0.463020995060099
22,10,"shut",0.00158367516863478,0.463020995060099
22,10,"diver",0.00136021008452688,0.463020995060099
22,10,"float",0.000802598598646041,0.463020995060099
22,10,"float",0.000802598598646041,0.463020995060099
22,10,"heavy",0.000773525754355672,0.463020995060099
22,10,"bearings",0.000680221234343476,0.463020995060099
22,10,"closed",0.000640894089242686,0.463020995060099
22,10,"inflate",0.00055378819084091,0.463020995060099
22,10,"cartesian",0.000453437201414724,0.463020995060099
22,10,"system",0.000192844155067602,0.463020995060099
22,10,"sink",3.11917204152314e-09,0.463020995060099
22,10,"balloon",1.29879360918481e-09,0.463020995060099
22,10,"balloon",1.29879360918481e-09,0.463020995060099
22,10,"balloon",1.29879360918481e-09,0.463020995060099
22,10,"balloon",1.29879360918481e-09,0.463020995060099
22,10,"brim",3.46001536051451e-10,0.463020995060099
22,10,"tie",1.8167761725356e-11,0.463020995060099
22,10,"shrink",1.54393897597924e-11,0.463020995060099
22,10,"mug",3.75102515225624e-13,0.463020995060099
22,10,"shrinkandsink.html",1.51508249794501e-13,0.463020995060099
22,10,"reduce",1.9725086984699e-18,0.463020995060099
22,10,"buoyancy",2.67544365880124e-22,0.463020995060099
23,6,"syringe",0.00686851513345952,0.816269339675196
23,6,"plunger",0.00616945104732168,0.816269339675196
23,6,"plunger",0.00616945104732168,0.816269339675196
23,6,"fill",0.00504367253902385,0.816269339675196
23,6,"ml",0.00452413572219087,0.816269339675196
23,6,"barrel",0.00322864992613477,0.816269339675196
23,6,"volume",0.00259105793211679,0.816269339675196
23,6,"volume",0.00259105793211679,0.816269339675196
23,6,"pulling",0.002531290117167,0.816269339675196
23,6,"push",0.00210298494691318,0.816269339675196
23,6,"shut",0.00196647764864644,0.816269339675196
23,6,"increase",0.00173695776547019,0.816269339675196
23,6,"transparent",0.00172921089312629,0.816269339675196
23,6,"glass",0.00160912448462049,0.816269339675196
23,6,"smoke",0.00150737969351132,0.816269339675196
23,6,"smoke",0.00150737969351132,0.816269339675196
23,6,"smoke",0.00150737969351132,0.816269339675196
23,6,"outlet",0.0012817648815607,0.816269339675196
23,6,"pushed",0.000832708879523041,0.816269339675196
23,6,"milky",0.000725823121130149,0.816269339675196
23,6,"spread",0.000669034418282449,0.816269339675196
23,6,"reducevolumeincreasedensity.html",0.000362911560565074,0.816269339675196
23,6,"stick",0.000132206782635763,0.816269339675196
23,6,"incense",0.000118998168270144,0.816269339675196
23,6,"density",8.1081398060636e-06,0.816269339675196
24,10,"bottle",0.0804773756399128,0.556303426750857
